revolution	revolução	/<span class="ipa dipa">ˌrev·əˈlu·ʃən</span>/	[sound:7001-8000-cambridge-revolution.mp3]	a change in the way a country is governed, usually to a different political system and often using violence. ,a very important change in the way that people do things. 
principles				
perfection	perfeição	/<span class="ipa dipa">pərˈfek·ʃən</span>/	[sound:7001-8000-cambridge-perfection.mp3]	a state of having no mistakes, faults, or damage. 
pains				
Mozart				
momma	mamãe,mãe	/<span class="ipa dipa">ˈmɑː.mə</span>/	[sound:7001-8000-cambridge-eus73064.mp3]	informal for  mother . 
mole	pinta,toupeira	/<span class="ipa dipa">moʊl</span>/	[sound:7001-8000-cambridge-mole.mp3]	a small, dark mark on the skin. ,a small animal with black fur that lives under the ground. 
meow	ortografia americana de “miaow”			US spelling of miaow. 
Lynn				
Luther				
jelly	gelatina,geleia	/<span class="ipa dipa">ˈdʒel·i</span>/	[sound:7001-8000-cambridge-jelly.mp3]	a soft, sweet food that shakes when you move it. ,a soft, sweet food made from fruit, often used on bread. 
interviews				
initiative	iniciativa,empreendimento,por iniciativa própria	/<span class="ipa dipa">ɪˈnɪʃ·ə·t̬ɪv</span>/	[sound:7001-8000-cambridge-eus72432.mp3]	a plan or activity that is done to solve a problem or improve a situation. ,the ability to make decisions and do things without needing to be told what to do. ,If you do something on your own initiative, you plan it and decide to do it yourself without anyone telling you what to do.. 
Hitler				
hairs				
Gretchen				
getaway	fuga		[sound:7001-8000-cambridge-getaway.mp3]	an occasion when someone leaves a place quickly, usually after committing a crime. 
Germany				
Freddie				
employment	emprego	/<span class="ipa dipa">ɪmˈplɔɪ·mənt</span>/	[sound:7001-8000-cambridge-employment.mp3]	work that a person or company pays you to do. 
den	toca,sala de TV	/<span class="ipa dipa">den</span>/	[sound:7001-8000-cambridge-den.mp3]	the home of some kinds of wild animals. ,a room in a house or apartment, used for activities not involving work. 
cracking				
counted				
compliments				
Carlton				
behold	contemplar	/<span class="ipa dipa">bɪˈhoʊld</span>/	[sound:7001-8000-cambridge-eus70491.mp3]	to see something. 
Allen				
verge	estar prestes a (fazer) algo,margem,beira	/<span class="ipa dipa">vɜrdʒ</span>/	[sound:7001-8000-cambridge-verge.mp3]	If you are on the verge of something, you are very near to experiencing it.. ,the edge of a road or path, usually covered in grass. 
tougher				
timer	temporizador	/<span class="ipa dipa">-mɚ</span>/	[sound:7001-8000-cambridge-timer.mp3]	a device that makes a sound when a particular number of minutes, hours, etc. have gone past. ,a device on a machine that causes the machine to start or stop working at a particular point in the day. 
tapped				
taped				
